protein_family,best_model,best_metric,best_score
IC,xgb,f1_score,0.9983
Enzyme,rf,f1_score,0.9956
Epigenetic,xgb,f1_score,0.9615
Enzyme,xgb,f1_score,1.0
Other,rf,f1_score,1.0
Kinase,rf,f1_score,1.0
Enzyme,xgb,f1_score,0.9809
Other,rf,f1_score,1.0
GPCR,xgb,f1_score,0.9969
Enzyme,rf,f1_score,0.9679
Kinase,mlp,f1_score,0.9945
Kinase,rf,f1_score,1.0
IC,mlp,f1_score,0.9991
Enzyme,xgb,f1_score,0.9889
Other,svc,f1_score,1.0
Enzyme,xgb,f1_score,1.0
Enzyme,xgb,f1_score,1.0
Enzyme,xgb,f1_score,0.9799
Kinase,rf,f1_score,0.9986
Transporter,svc,f1_score,1.0
GPCR,mlp,f1_score,0.9913
GPCR,rf,f1_score,1.0
Kinase,rf,f1_score,0.9957
GPCR,rf,f1_score,0.9948
Other,svc,f1_score,1.0
Transporter,xgb,f1_score,1.0
Kinase,xgb,f1_score,0.9984
Other,rf,f1_score,1.0
Transporter,xgb,f1_score,1.0
Kinase,svc,f1_score,0.9655
Kinase,xgb,f1_score,0.9955
Other,mlp,f1_score,0.997
IC,rf,f1_score,0.988
Enzyme,mlp,f1_score,0.9907
GPCR,rf,f1_score,1.0
IC,xgb,f1_score,1.0
Kinase,mlp,f1_score,0.9670000000000001
Enzyme,rf,f1_score,1.0
Enzyme,xgb,f1_score,1.0
Kinase,xgb,f1_score,1.0
Kinase,svc,f1_score,0.9874
Kinase,rf,f1_score,1.0
Enzyme,mlp,f1_score,0.9934
IC,rf,f1_score,1.0
IC,xgb,f1_score,0.9466
Enzyme,mlp,f1_score,0.9952
Enzyme,mlp,f1_score,0.9732
IC,rf,f1_score,1.0
GPCR,rf,f1_score,1.0
GPCR,svc,f1_score,1.0
Enzyme,svc,f1_score,0.9981
Enzyme,mlp,f1_score,0.9904
GPCR,mlp,f1_score,0.9976
GPCR,rf,f1_score,0.998
Enzyme,xgb,f1_score,1.0
GPCR,mlp,f1_score,0.9923
Other,rf,f1_score,1.0
Kinase,rf,f1_score,0.9974
Enzyme,xgb,f1_score,0.9899
Enzyme,svc,f1_score,0.9968
Enzyme,xgb,f1_score,0.9899
Kinase,mlp,f1_score,0.9969
Transporter,xgb,f1_score,1.0
Kinase,rf,f1_score,0.9832
GPCR,rf,f1_score,1.0
Enzyme,xgb,f1_score,1.0
Kinase,mlp,f1_score,0.9976
GPCR,xgb,f1_score,0.9913
GPCR,rf,f1_score,1.0
IC,xgb,f1_score,1.0
Enzyme,xgb,f1_score,1.0
GPCR,xgb,f1_score,0.9948
IC,rf,f1_score,1.0
Other,xgb,f1_score,1.0
Enzyme,xgb,f1_score,0.9969
Enzyme,svc,f1_score,0.9990000000000001
Enzyme,svc,f1_score,0.9958
Other,rf,f1_score,1.0
Kinase,mlp,f1_score,0.9934
Epigenetic,rf,f1_score,1.0
Enzyme,rf,f1_score,0.9965
Enzyme,rf,f1_score,0.9884
Enzyme,svc,f1_score,0.9842
Enzyme,svc,f1_score,1.0
IC,rf,f1_score,0.9882
Enzyme,rf,f1_score,0.9978
Kinase,xgb,f1_score,0.9592
Enzyme,mlp,f1_score,1.0
GPCR,rf,f1_score,0.9976
Enzyme,xgb,f1_score,0.9984
IC,rf,f1_score,0.9947
GPCR,mlp,f1_score,0.9945
Enzyme,svc,f1_score,0.9959
GPCR,rf,f1_score,0.9985
GPCR,xgb,f1_score,0.9927
GPCR,rf,f1_score,0.9968
Other,svc,f1_score,0.9975
Enzyme,mlp,f1_score,0.9913
Enzyme,rf,f1_score,0.9959
IC,xgb,f1_score,0.9979
Enzyme,svc,f1_score,0.9987
Enzyme,rf,f1_score,0.9849
Enzyme,svc,f1_score,0.9862
Enzyme,xgb,f1_score,0.9993
Kinase,xgb,f1_score,0.9297
Enzyme,rf,f1_score,0.9697
Kinase,xgb,f1_score,1.0
Kinase,rf,f1_score,1.0
Kinase,rf,f1_score,0.99
IC,rf,f1_score,0.9915
Kinase,xgb,f1_score,0.8965
IC,rf,f1_score,0.9782
GPCR,mlp,f1_score,0.9475
Kinase,svc,f1_score,0.9974
Other,svc,f1_score,0.9959
NR,rf,f1_score,0.9971
Kinase,xgb,f1_score,0.9976
Kinase,svc,f1_score,0.9733
NR,rf,f1_score,0.9965
Enzyme,mlp,f1_score,1.0
Enzyme,mlp,f1_score,0.9993
Enzyme,xgb,f1_score,1.0
Epigenetic,rf,f1_score,0.9924
Enzyme,mlp,f1_score,0.9797
Enzyme,mlp,f1_score,1.0
Enzyme,rf,f1_score,1.0
IC,xgb,f1_score,0.9942
GPCR,mlp,f1_score,0.997
IC,svc,f1_score,0.9786
GPCR,rf,f1_score,0.9945
Enzyme,rf,f1_score,0.9947
GPCR,rf,f1_score,1.0
Enzyme,svc,f1_score,1.0
GPCR,svc,f1_score,0.9957
Enzyme,xgb,f1_score,0.9965
Enzyme,rf,f1_score,0.9819
Epigenetic,svc,f1_score,0.9785
Enzyme,svc,f1_score,0.9309999999999999
IC,xgb,f1_score,1.0
Other,xgb,f1_score,1.0
IC,xgb,f1_score,0.9899
Enzyme,xgb,f1_score,0.9844
Kinase,svc,f1_score,0.9979
Other,svc,f1_score,0.9909
Kinase,mlp,f1_score,0.9917
NR,svc,f1_score,0.9977
Kinase,mlp,f1_score,0.9988
Other,svc,f1_score,0.9849
Enzyme,xgb,f1_score,1.0
Enzyme,mlp,f1_score,1.0
Enzyme,mlp,f1_score,0.9968
Enzyme,xgb,f1_score,0.9832
GPCR,rf,f1_score,1.0
Enzyme,mlp,f1_score,0.9988
GPCR,xgb,f1_score,1.0
Enzyme,mlp,f1_score,0.9996
Enzyme,rf,f1_score,0.9988
