,protein_family,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
P35610,Enzyme,0.9855,0.9855,0.912,0.912,0.9927,0.9926,0.9544,0.9554,0.9855,0.9857,0.9151,0.9159,0.9927,0.9926,0.9544,0.9554,1100,275,125,1250,rf,f1_score,0.9926
P49286,GPCR,0.9971,0.997,0.982,0.9822,0.9978,0.9978,0.9866,0.9867,0.9963,0.9964,0.9782,0.9784,0.9949,0.9948,0.9684,0.9686,5456,1364,620,6200,rf,f1_score,0.9978
P29371,GPCR,0.9919,0.9918,0.9504,0.9506,0.9988,0.9988,0.993,0.993,0.9988,0.9988,0.993,0.993,0.9931,0.993,0.9577,0.9578,3458,865,393,3930,rf,f1_score,0.9988
P28472,IC,0.9739,0.9718,0.8099,0.825,0.9652,0.9678,0.8145,0.8289,0.9565,0.9603,0.7767,0.7968,0.9565,0.9555,0.7132,0.7144,457,115,52,520,xgb,f1_score,0.9718
P03956,Enzyme,0.9959,0.9959,0.9751,0.9752,0.9965,0.9965,0.9788,0.979,0.9937,0.9938,0.9625,0.9626,0.9937,0.9937,0.9623,0.9623,12742,3186,1448,14480,rf,f1_score,0.9965
Q13946,Enzyme,0.9866,0.9862,0.9139,0.9164,0.9918,0.9916,0.9479,0.9492,0.9846,0.9848,0.9095,0.9103,0.9949,0.9948,0.9679,0.9684,3880,971,441,4410,mlp,f1_score,0.9948
P41229,TF; Epigenetic,0.9091,0.9048,0.7805,0.8,0.8788,0.8704,0.7,0.7338,0.9697,0.9693,0.9302,0.9325,0.8182,0.813,0.5714,0.5774,129,33,54,108,svc,f1_score,0.9693
Q96RJ0,GPCR,0.9748,0.973,0.8288,0.8412,0.958,0.9523,0.6854,0.722,0.9832,0.9838,0.9074,0.9113,0.9748,0.973,0.8288,0.8412,475,119,54,540,svc,f1_score,0.9838
Q96RI1,NR,0.9856,0.983,0.63,0.6781,1.0,1.0,1.0,1.0,0.9982,0.9982,0.9668,0.9673,0.9955,0.9957,0.9208,0.9237,4440,1110,150,5400,rf,f1_score,1.0
Q04206,TF,0.9091,0.9027,0.7442,0.7698,0.8636,0.8468,0.5926,0.6489,0.9091,0.9027,0.7442,0.7698,0.8182,0.7828,0.4211,0.5164,86,22,27,81,xgb,f1_score,0.9027
P08069,Kinase,0.9925,0.9924,0.9537,0.9538,0.9945,0.9945,0.9662,0.9664,0.9938,0.9938,0.9626,0.9626,0.9952,0.9952,0.9711,0.9712,5825,1457,662,6620,mlp,f1_score,0.9952
P05093,Enzyme,0.9968,0.9968,0.9807,0.9807,0.9926,0.9926,0.955,0.955,0.9894,0.9896,0.9386,0.9397,0.9905,0.9905,0.9427,0.9428,3784,946,430,4300,xgb,f1_score,0.9968
O60502,Enzyme,0.9737,0.9734,0.9404,0.9421,0.9737,0.9734,0.9404,0.9421,1.0,1.0,1.0,1.0,0.9737,0.9734,0.9404,0.9421,148,38,62,124,svc,f1_score,1.0
Q3SYC2,Enzyme,0.9977,0.9976,0.954,0.9551,0.9985,0.9984,0.9698,0.9702,0.9992,0.9992,0.9851,0.9852,0.9977,0.9977,0.9566,0.9567,5209,1303,176,6336,svc,f1_score,0.9992
P10275,NR,0.9877,0.9874,0.9216,0.9235,0.9906,0.9904,0.9405,0.9421,0.9836,0.9837,0.9023,0.9025,0.993,0.993,0.9574,0.9574,6820,1705,775,7750,mlp,f1_score,0.993
P36897,Kinase,0.9967,0.9967,0.98,0.9802,0.9967,0.9967,0.98,0.9802,0.9984,0.9984,0.9903,0.9903,0.9935,0.9935,0.9613,0.9615,2455,614,279,2790,svc,f1_score,0.9984
Q16739,Enzyme,0.9882,0.9865,0.7166,0.7473,0.9988,0.9988,0.9772,0.9774,0.9988,0.9988,0.9781,0.9783,1.0,1.0,1.0,1.0,3374,844,114,4104,mlp,f1_score,1.0
Q9NPH5,Enzyme,0.9621,0.9575,0.7179,0.7483,0.9773,0.9758,0.8451,0.8554,0.9848,0.9842,0.9009,0.9054,0.9773,0.9758,0.8451,0.8554,528,132,60,600,svc,f1_score,0.9842
Q15761,GPCR,0.9955,0.9954,0.9719,0.9723,0.9916,0.9914,0.9471,0.948,0.9883,0.9885,0.9311,0.9315,0.9935,0.9935,0.9605,0.9605,6177,1545,702,7020,xgb,f1_score,0.9954
Q9BYF1,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,457,115,52,520,xgb,f1_score,1.0
Q9HBH1,Enzyme,0.9848,0.9842,0.9009,0.9054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,264,66,30,300,rf,f1_score,1.0
Q15059,Epigenetic,0.9917,0.991,0.8164,0.8305,0.9971,0.997,0.941,0.9427,0.9982,0.9982,0.9661,0.9662,0.9976,0.9976,0.9543,0.9546,6778,1695,229,8244,svc,f1_score,0.9982
P00519,Kinase,0.981,0.981,0.9575,0.9577,0.9946,0.9946,0.9877,0.9878,0.981,0.981,0.9575,0.9577,0.9891,0.9891,0.9755,0.9756,1471,368,613,1226,rf,f1_score,0.9946
