protein_family,best_model,best_metric,best_score
NR,rf,cohen_kappa,1.0
NR,svc,cohen_kappa,0.9259999999999999
Enzyme,rf,cohen_kappa,1.0
GPCR,svc,cohen_kappa,1.0
IC,rf,cohen_kappa,0.8636
Enzyme,rf,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.9003
Enzyme,svc,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.9503
Other,rf,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.9785
GPCR,mlp,cohen_kappa,0.8839
IC,rf,cohen_kappa,0.8299
Enzyme,rf,cohen_kappa,0.9786
Kinase,svc,cohen_kappa,0.9143
Enzyme,mlp,cohen_kappa,0.9894
Enzyme,mlp,cohen_kappa,0.9793
Kinase,xgb,cohen_kappa,0.987
Enzyme,svc,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.9873
Enzyme,svc,cohen_kappa,0.9831
Other,svc,cohen_kappa,1.0
Transporter,rf,cohen_kappa,0.9540000000000001
Enzyme,xgb,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9597
Epigenetic,rf,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
IC,svc,cohen_kappa,0.9521
GPCR,mlp,cohen_kappa,0.9927
Kinase,svc,cohen_kappa,0.9744
Enzyme,svc,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,1.0
GPCR,mlp,cohen_kappa,0.9335
Epigenetic,xgb,cohen_kappa,0.9486
GPCR,svc,cohen_kappa,0.9882
GPCR,rf,cohen_kappa,0.9779
Enzyme,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9372
Kinase,rf,cohen_kappa,0.985
Other,rf,cohen_kappa,1.0
Kinase,svc,cohen_kappa,0.9354
Enzyme,rf,cohen_kappa,1.0
Epigenetic,rf,cohen_kappa,0.9637
Epigenetic,mlp,cohen_kappa,0.9486
Kinase,rf,cohen_kappa,0.9824
Enzyme,svc,cohen_kappa,0.9495
Transporter,rf,cohen_kappa,1.0
