protein_family,best_model,best_metric,best_score
Enzyme,rf,cohen_kappa,0.9622
IC,mlp,cohen_kappa,0.9575
Enzyme,rf,cohen_kappa,0.9863
Enzyme,rf,cohen_kappa,0.9478
Other,xgb,cohen_kappa,1.0
GPCR,svc,cohen_kappa,0.983
Enzyme,svc,cohen_kappa,0.9772
Enzyme,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9706
Enzyme,rf,cohen_kappa,0.9453
Kinase,rf,cohen_kappa,0.9595
GPCR,xgb,cohen_kappa,0.9974
Enzyme,xgb,cohen_kappa,1.0
Other,rf,cohen_kappa,0.9594
Kinase,svc,cohen_kappa,0.9781
Enzyme,rf,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.9446
Kinase,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9687
Epigenetic,xgb,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,0.8452
GPCR,rf,cohen_kappa,0.9039
GPCR,mlp,cohen_kappa,0.977
IC,rf,cohen_kappa,0.9359999999999999
Enzyme,xgb,cohen_kappa,1.0
IC,xgb,cohen_kappa,0.9669
Enzyme,rf,cohen_kappa,0.9732
Epigenetic,xgb,cohen_kappa,0.7327
Enzyme,xgb,cohen_kappa,1.0
Other,rf,cohen_kappa,1.0
Kinase,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.8791
Other,rf,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,0.9396
Enzyme,rf,cohen_kappa,0.7848
Kinase,mlp,cohen_kappa,0.9662
Kinase,rf,cohen_kappa,1.0
IC,mlp,cohen_kappa,0.9831
Enzyme,xgb,cohen_kappa,0.9314
Other,svc,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9295
Kinase,rf,cohen_kappa,0.973
Transporter,svc,cohen_kappa,1.0
GPCR,mlp,cohen_kappa,0.9471
GPCR,rf,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.9737
GPCR,rf,cohen_kappa,0.9679
Other,svc,cohen_kappa,1.0
Transporter,xgb,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,0.9902
Other,rf,cohen_kappa,1.0
Transporter,xgb,cohen_kappa,1.0
Kinase,svc,cohen_kappa,0.7811
Kinase,xgb,cohen_kappa,0.9719
Other,mlp,cohen_kappa,0.9817
IC,rf,cohen_kappa,0.7504
Enzyme,mlp,cohen_kappa,0.8118
GPCR,rf,cohen_kappa,1.0
IC,xgb,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.9268
Enzyme,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Kinase,xgb,cohen_kappa,1.0
Kinase,svc,cohen_kappa,0.9262
Kinase,rf,cohen_kappa,1.0
Enzyme,mlp,cohen_kappa,0.8753
IC,rf,cohen_kappa,1.0
IC,xgb,cohen_kappa,0.6447
Enzyme,mlp,cohen_kappa,0.9067
Enzyme,mlp,cohen_kappa,0.9398
IC,rf,cohen_kappa,1.0
GPCR,rf,cohen_kappa,1.0
GPCR,svc,cohen_kappa,1.0
Enzyme,svc,cohen_kappa,0.9645
Enzyme,mlp,cohen_kappa,0.9421
GPCR,mlp,cohen_kappa,0.9543
GPCR,rf,cohen_kappa,0.9955
Enzyme,xgb,cohen_kappa,1.0
GPCR,mlp,cohen_kappa,0.9540000000000001
Other,rf,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.9495
Enzyme,xgb,cohen_kappa,0.9358
Enzyme,svc,cohen_kappa,0.9417
Enzyme,xgb,cohen_kappa,0.9358
Kinase,mlp,cohen_kappa,0.9811
Transporter,xgb,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.9003
GPCR,rf,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.9853
GPCR,xgb,cohen_kappa,0.9467
GPCR,rf,cohen_kappa,1.0
IC,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,1.0
GPCR,xgb,cohen_kappa,0.9686
IC,rf,cohen_kappa,1.0
Other,xgb,cohen_kappa,1.0
Enzyme,xgb,cohen_kappa,0.9814
Enzyme,svc,cohen_kappa,0.982
Enzyme,svc,cohen_kappa,0.9222
Other,rf,cohen_kappa,1.0
Kinase,mlp,cohen_kappa,0.9599
Epigenetic,rf,cohen_kappa,1.0
Enzyme,rf,cohen_kappa,0.9303
Enzyme,rf,cohen_kappa,0.9281
Enzyme,svc,cohen_kappa,0.9009
Enzyme,svc,cohen_kappa,1.0
IC,rf,cohen_kappa,0.9271
Enzyme,rf,cohen_kappa,0.9597
Kinase,xgb,cohen_kappa,0.8354
Enzyme,mlp,cohen_kappa,1.0
GPCR,rf,cohen_kappa,0.9947
Enzyme,xgb,cohen_kappa,0.9905
IC,rf,cohen_kappa,0.8953
GPCR,mlp,cohen_kappa,0.966
Enzyme,svc,cohen_kappa,0.975
GPCR,rf,cohen_kappa,0.9911
GPCR,xgb,cohen_kappa,0.9835
GPCR,rf,cohen_kappa,0.9801
Other,svc,cohen_kappa,0.9511
Enzyme,mlp,cohen_kappa,0.9461
Enzyme,rf,cohen_kappa,0.919
IC,xgb,cohen_kappa,0.9874
Enzyme,svc,cohen_kappa,0.9919
Enzyme,rf,cohen_kappa,0.9052
Enzyme,svc,cohen_kappa,0.9690000000000001
Enzyme,xgb,cohen_kappa,0.9859
Kinase,xgb,cohen_kappa,0.8511
Enzyme,rf,cohen_kappa,0.8036
Kinase,xgb,cohen_kappa,1.0
Kinase,rf,cohen_kappa,1.0
Kinase,rf,cohen_kappa,0.9378
IC,rf,cohen_kappa,0.9478
Kinase,xgb,cohen_kappa,0.6613
IC,rf,cohen_kappa,0.8640000000000001
GPCR,mlp,cohen_kappa,0.6452
Kinase,svc,cohen_kappa,0.9847
Other,svc,cohen_kappa,0.9753
